eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
1.44342,56.3422,27.8445,56.3422,27.8445,1.69168,-0.836674,1.69168,-0.836674,51.8661,145.075,4.29927,0.855004,447.178,278.442,1.44342,-0.0327147,179.416,911.574,
1.47142,175.133,108.691,175.133,108.691,0.455078,-0.106675,0.455078,-0.106675,66.6218,286.852,3.10611,0.348403,1085.75,265.33,1.47142,0.346453,823.089,1246.47,
1.33119,172.926,49.7871,172.926,49.7871,2.14302,-0.853829,2.14302,-0.853829,152.755,426.451,2.12406,1.28919,990.524,719.017,1.33119,-0.370498,539.677,2302.65,
1.04642,24.1767,265.678,265.678,24.1767,0.496074,-0.695541,-0.695541,0.496074,275.781,134.954,1.18063,-0.199467,622.332,192.838,1.04642,1.72983,638.916,561.152,
1.69507,343.106,369.494,369.494,343.106,1.53172,1.52054,1.52054,1.53172,37.4972,711.624,3.21643,0.0111848,120.818,54.3983,1.69507,1.11413,66.4205,171.757,
0.531795,588.575,522.303,588.575,522.303,0.148098,-1.08077,0.148098,-1.08077,554.435,1205.12,2.10269,-0.932667,704.016,529.283,0.531795,-0.22872,742.835,1093.63,
0.44011,231.072,61.5165,231.072,61.5165,0.323436,1.03528,0.323436,1.03528,169.735,253.595,3.20706,-0.711848,285.557,54.4516,0.44011,0.0101111,243.413,246.969,
-0.906387,467.592,469.174,469.174,467.592,-0.349913,0.507999,0.507999,-0.349913,184.977,1007.44,2.74407,-0.158087,433.762,96.5247,-0.906387,1.12253,477.708,543.239,
1.3649,135.997,23.3724,135.997,23.3724,1.92602,0.683755,1.92602,0.683755,134.095,113.959,4.54487,1.24226,540.839,526.028,1.3649,1.71721,334.577,1031.34,
-0.153398,246.892,82.3793,246.892,82.3793,1.56772,0.140128,1.56772,0.140128,198.253,343.66,3.93825,1.42759,398.131,147.746,-0.153398,1.33597,259.77,622.446,
2.38769,184.511,45.8579,184.511,45.8579,2.15016,-0.614437,2.15016,-0.614437,157.062,382.511,3.96693,1.53572,680.332,573.812,2.38769,0.0554973,110.766,2204.19,
-0.646849,294.187,69.3758,294.187,69.3758,0.491172,-0.801154,0.491172,-0.801154,244.623,333.825,2.45302,-0.309982,413.28,39.511,-0.646849,0.0766893,376.665,281.002,
1.42691,103.973,139.268,139.268,103.973,1.91095,-0.612373,-0.612373,1.91095,52.6219,457.346,3.46738,1.29857,328.465,88.0684,1.42691,-1.27265,241.823,700.007,
-1.2282,84.6791,458.069,458.069,84.6791,-1.69165,0.853839,0.853839,-1.69165,376.424,756.889,2.89883,0.837807,410.675,97.1852,-1.2282,0.886174,336.38,633.209,
-1.3101,363.123,150.548,363.123,150.548,-0.464608,-0.792399,-0.464608,-0.792399,212.65,473.882,3.16574,-0.327791,230.847,206.637,-1.3101,-0.256669,30.1358,498.77,
