pt_l,pt_lbar,pt_l_lead,pt_l_trail,pt_ll,eta_l,eta_lbar,eta_l_lead,eta_l_trail,h_pt_l,h_pt_lbar,h_pt_l_lead,h_pt_l_trail,h_pt_ll,h_eta_l,h_eta_lbar,h_eta_l_lead,h_eta_l_trail,
0.0300532,0.299676,0.299676,0.0300532,0.329727,-3.59352,-3.74455,-3.74455,-3.59352,54.4567,109.412,109.412,54.4567,60.5596,1.02374,-0.792757,-0.792757,1.02374,
0.00939034,0.0237296,0.0237296,0.00939034,0.0331149,2.24119,2.37496,2.37496,2.24119,65.2285,186.191,186.191,65.2285,248.583,0.76442,-0.269094,-0.269094,0.76442,
4.89044,0.0610107,4.89044,0.0610107,4.83446,1.51186,2.90561,1.51186,2.90561,108.063,214.217,214.217,108.063,143.848,2.0927,-0.32387,-0.32387,2.0927,
86.3769,0.126658,86.3769,0.126658,86.4917,-1.4356,5.44849,-1.4356,5.44849,85.5914,110.371,110.371,85.5914,25.6776,1.40828,-1.46433,-1.46433,1.40828,
0.00236691,0.0944211,0.0944211,0.00236691,0.0920566,0.519053,1.1365,1.1365,0.519053,91.3181,503.878,503.878,91.3181,441.914,1.67201,-0.099634,-0.099634,1.67201,
1.18575,27.7196,27.7196,1.18575,26.534,-0.820053,-2.235,-2.235,-0.820053,229.899,24.0266,229.899,24.0266,208.28,0.814956,-1.38931,0.814956,-1.38931,
0.176183,0.00611152,0.176183,0.00611152,0.178994,5.83953,6.60327,5.83953,6.60327,179.302,28.2349,179.302,28.2349,151.56,1.21485,-1.5275,1.21485,-1.5275,
0.00150663,18.8702,18.8702,0.00150663,18.8716,-2.32017,-2.34225,-2.34225,-2.32017,94.3069,152.435,152.435,94.3069,202.119,-1.77135,-0.20689,-0.20689,-1.77135,
0.0936755,0.0319472,0.0936755,0.0319472,0.125577,1.64612,1.71859,1.64612,1.71859,104.814,128.548,128.548,104.814,71.2391,1.28769,0.517178,0.517178,1.28769,
1.98867,4.83423,4.83423,1.98867,6.82289,-4.68314,-4.68363,-4.68363,-4.68314,97.305,94.8443,97.305,94.8443,34.8767,0.963614,-0.73227,0.963614,-0.73227,
0.969564,0.134666,0.969564,0.134666,0.863751,2.60029,-2.47908,2.60029,-2.47908,104.985,73.868,104.985,73.868,40.2249,-1.1748,0.254997,-1.1748,0.254997,
329.065,71.4391,329.065,71.4391,257.901,-0.778603,1.24263,-0.778603,1.24263,351.911,157.125,351.911,157.125,199.11,-0.947089,1.15108,-0.947089,1.15108,
12.2513,31.703,31.703,12.2513,43.9502,-0.452579,-0.332132,-0.332132,-0.452579,437.949,113.012,437.949,113.012,325.236,-0.61856,1.21241,-0.61856,1.21241,
0.00952013,18.6397,18.6397,0.00952013,18.645,-3.71326,1.09013,1.09013,-3.71326,372.02,68.8972,372.02,68.8972,303.125,-0.492653,0.486135,-0.492653,0.486135,
0.216873,0.0370465,0.216873,0.0370465,0.251929,1.66167,2.24563,1.66167,2.24563,66.1588,52.7001,66.1588,52.7001,48.2815,1.31986,-1.25215,1.31986,-1.25215,
66.6689,33.729,66.6689,33.729,79.0386,-0.897561,-1.71105,-0.897561,-1.71105,73.5176,54.3711,73.5176,54.3711,103.096,2.02465,-1.29807,2.02465,-1.29807,
4.56591,0.860215,4.56591,0.860215,5.42612,-2.28957,-2.29254,-2.28957,-2.29254,77.2001,130.813,130.813,77.2001,72.8503,-2.33071,-1.10584,-1.10584,-2.33071,
1.83139,0.0223954,1.83139,0.0223954,1.81491,-1.42188,4.41566,-1.42188,4.41566,106.183,192.656,192.656,106.183,123.359,1.11128,-1.50642,-1.50642,1.11128,
27.6302,29.0767,29.0767,27.6302,41.3441,2.27386,-0.680172,-0.680172,2.27386,27.7974,30.1241,30.1241,27.7974,41.2891,2.26648,-0.652385,-0.652385,2.26648,
41.8515,176.579,176.579,41.8515,135.066,0.0171335,1.08373,1.08373,0.0171335,41.1425,177.538,177.538,41.1425,136.53,-0.0554618,1.10346,1.10346,-0.0554618,
0.594974,4.78775,4.78775,0.594974,4.39417,-2.1582,-1.05183,-1.05183,-2.1582,94.3589,30.9243,94.3589,30.9243,64.3747,0.0365846,-1.00962,0.0365846,-1.00962,
0.0749951,0.186485,0.186485,0.0749951,0.261478,-2.52359,-2.52019,-2.52019,-2.52359,315.882,64.8921,315.882,64.8921,251.196,-0.319057,0.523254,-0.319057,0.523254,
0.0141525,4.14,4.14,0.0141525,4.14035,2.68514,2.06173,2.06173,2.68514,43.8748,62.9924,62.9924,43.8748,41.9762,1.45709,-1.49466,-1.49466,1.45709,
0.0384136,1.98559,1.98559,0.0384136,1.94762,5.53515,1.11854,1.11854,5.53515,63.792,84.1594,84.1594,63.792,93.455,-1.94921,1.94933,1.94933,-1.94921,
0.00393766,0.0274093,0.0274093,0.00393766,0.0313442,-1.15228,0.82311,0.82311,-1.15228,58.2543,139.994,139.994,58.2543,135.585,2.37653,0.0681089,0.0681089,2.37653,
0.0267637,0.109389,0.109389,0.0267637,0.125772,-3.68292,-3.93267,-3.93267,-3.68292,60.4724,87.8122,87.8122,60.4724,34.0319,2.43827,-0.584121,-0.584121,2.43827,
0.417829,10.4775,10.4775,0.417829,10.2154,8.96717,-2.53528,-2.53528,8.96717,95.9118,121.344,121.344,95.9118,107.699,-1.88243,1.57539,1.57539,-1.88243,
0.346865,27.2133,27.2133,0.346865,26.9185,1.38312,-1.17554,-1.17554,1.38312,94.8867,68.2424,94.8867,68.2424,46.9387,2.11542,-0.874547,2.11542,-0.874547,
0.320891,17.2163,17.2163,0.320891,17.25,-5.00345,-1.60984,-1.60984,-5.00345,23.4898,84.2618,84.2618,23.4898,103.438,-1.84377,-1.69186,-1.69186,-1.84377,
1.5059,0.250586,1.5059,0.250586,1.43079,-0.0156672,2.66533,-0.0156672,2.66533,46.339,118.718,118.718,46.339,85.2892,-1.9989,1.0812,1.0812,-1.9989,
0.077033,0.00155143,0.077033,0.00155143,0.0783524,-4.85027,-4.83277,-4.85027,-4.83277,47.4272,39.9853,47.4272,39.9853,85.9464,-2.04775,1.24727,-2.04775,1.24727,
0.0105639,0.055903,0.055903,0.0105639,0.0663806,-0.0988714,1.35799,1.35799,-0.0988714,198.001,218.842,218.842,198.001,80.0552,0.259381,-0.814219,-0.814219,0.259381,
0.323054,0.098814,0.323054,0.098814,0.42186,-0.821463,-0.798771,-0.821463,-0.798771,27.0774,96.1881,96.1881,27.0774,78.2422,-2.10797,2.4724,2.4724,-2.10797,
0.279795,0.101181,0.279795,0.101181,0.380975,-4.37525,-4.37691,-4.37525,-4.37691,64.1467,46.248,64.1467,46.248,37.7023,-1.58774,1.01495,-1.58774,1.01495,
0.263518,0.00813605,0.263518,0.00813605,0.271338,2.03725,2.41179,2.03725,2.41179,196.338,187.69,196.338,187.69,17.156,-1.51833,1.11945,-1.51833,1.11945,
0.130001,0.748263,0.748263,0.130001,0.621674,-2.92166,4.30107,4.30107,-2.92166,124.064,92.4018,124.064,92.4018,48.2998,1.62828,-1.87865,1.62828,-1.87865,
5.95957,1.50431,5.95957,1.50431,7.22842,-1.62224,1.49876,-1.62224,1.49876,191.858,123.812,191.858,123.812,91.8826,-0.994616,0.694572,-0.994616,0.694572,
0.0212939,0.0600502,0.0600502,0.0212939,0.0813424,1.30172,1.36697,1.36697,1.30172,214.749,71.9324,214.749,71.9324,145.562,-1.01815,1.39464,-1.01815,1.39464,
1.72276,0.684267,1.72276,0.684267,2.40703,-0.521769,-0.522049,-0.521769,-0.522049,50.8601,56.3335,56.3335,50.8601,42.4564,0.371749,-0.608379,-0.608379,0.371749,
33.109,0.0533388,33.109,0.0533388,33.1611,1.177,1.46683,1.177,1.46683,127.437,82.0594,127.437,82.0594,92.94,-1.22913,1.61873,-1.22913,1.61873,
0.0111582,0.0188354,0.0188354,0.0111582,0.0226737,-0.211142,0.471156,0.471156,-0.211142,87.5373,207.072,207.072,87.5373,132.562,1.12202,0.308815,0.308815,1.12202,
0.0686482,0.0591176,0.0686482,0.0591176,0.11868,-2.04567,-2.5663,-2.04567,-2.5663,153.066,129.417,153.066,129.417,68.3666,-0.231402,1.29999,-0.231402,1.29999,
0.197234,0.257467,0.257467,0.197234,0.454699,6.27836,6.27272,6.27272,6.27836,183.672,97.8189,183.672,97.8189,176.275,-0.103671,-2.48009,-0.103671,-2.48009,
7.98736,0.0398451,7.98736,0.0398451,8.0127,-1.13305,3.42771,-1.13305,3.42771,107.047,42.1252,107.047,42.1252,66.4544,-0.764836,-0.437331,-0.764836,-0.437331,
162.828,15.3134,162.828,15.3134,147.754,1.99185,-2.59765,1.99185,-2.59765,137.589,49.1127,137.589,49.1127,88.9004,2.12687,-1.71527,2.12687,-1.71527,
0.0123484,0.757478,0.757478,0.0123484,0.76469,-4.81368,2.50708,2.50708,-4.81368,127.164,170.298,170.298,127.164,172.957,1.05119,-1.44857,-1.44857,1.05119,
0.614189,0.153154,0.614189,0.153154,0.766986,-0.436189,-0.436389,-0.436189,-0.436389,168.062,71.8171,168.062,71.8171,96.4199,-0.750771,1.80438,-0.750771,1.80438,
26.4991,0.336241,26.4991,0.336241,26.6641,-0.306488,1.75291,-0.306488,1.75291,26.135,121.658,121.658,26.135,123.133,-0.471218,1.0769,1.0769,-0.471218,
7.22028,1.62597,7.22028,1.62597,7.06011,-0.00572818,1.39557,-0.00572818,1.39557,177.952,21.0723,177.952,21.0723,168.849,-1.23041,2.48049,-1.23041,2.48049,
0.21783,13.5261,13.5261,0.21783,13.3207,2.82338,0.750894,0.750894,2.82338,58.4241,128.303,128.303,58.4241,72.3308,-0.989796,0.96146,0.96146,-0.989796,
0.231537,0.792606,0.792606,0.231537,0.702708,3.3686,4.91655,4.91655,3.3686,297.151,255.083,297.151,255.083,79.3024,0.68143,-0.549848,0.68143,-0.549848,
0.280656,1.4577,1.4577,0.280656,1.73836,-0.548876,-0.556329,-0.556329,-0.548876,20.8133,59.7692,59.7692,20.8133,49.0628,1.77626,-0.821074,-0.821074,1.77626,
493.46,15.5912,493.46,15.5912,507.746,0.971802,1.21283,0.971802,1.21283,500.451,423.285,500.451,423.285,102.121,0.920701,-0.549904,0.920701,-0.549904,
0.0473595,0.0952479,0.0952479,0.0473595,0.137164,-5.25176,-5.42822,-5.42822,-5.25176,230.063,282.133,282.133,230.063,53.1985,-0.6352,1.60743,1.60743,-0.6352,
0.0988553,0.0582046,0.0988553,0.0582046,0.15706,3.44521,3.44843,3.44521,3.44843,108.473,160.642,160.642,108.473,52.3562,1.41028,-1.50856,-1.50856,1.41028,
0.0670954,0.0507322,0.0670954,0.0507322,0.116906,-1.87797,-1.47283,-1.87797,-1.47283,141.239,62.7094,141.239,62.7094,137.069,-0.0221003,0.975806,-0.0221003,0.975806,
10.3982,0.00233128,10.3982,0.00233128,10.3985,-2.07666,-6.68827,-2.07666,-6.68827,76.2775,52.7804,76.2775,52.7804,27.9489,-1.95048,2.09189,-1.95048,2.09189,
0.00598276,0.0483195,0.0483195,0.00598276,0.0542667,-1.92807,-1.47574,-1.47574,-1.92807,64.0975,64.6692,64.6692,64.0975,13.7101,-1.21773,1.44229,1.44229,-1.21773,
0.0776388,0.213793,0.213793,0.0776388,0.291432,1.79501,1.81988,1.81988,1.79501,30.1836,222.439,222.439,30.1836,211.875,0.214467,-1.96281,-1.96281,0.214467,
1.67162,0.0308153,1.67162,0.0308153,1.66694,-0.62782,0.973104,-0.62782,0.973104,236.092,90.7804,236.092,90.7804,147.03,-1.15474,1.3363,-1.15474,1.3363,
9.75211,10.4823,10.4823,9.75211,6.49966,2.48208,-0.0745023,-0.0745023,2.48208,103.424,152.928,152.928,103.424,83.0769,0.388698,2.16143,2.16143,0.388698,
0.237674,0.104981,0.237674,0.104981,0.342624,-2.57583,-2.68916,-2.57583,-2.68916,103.467,100.723,103.467,100.723,80.8312,2.24172,-1.13028,2.24172,-1.13028,
1.7731,0.861391,1.7731,0.861391,2.5587,-0.866589,1.50534,-0.866589,1.50534,113.468,148.898,148.898,113.468,70.7256,0.90814,-1.30823,-1.30823,0.90814,
5.98757,43.5864,43.5864,5.98757,47.3172,2.11385,2.23394,2.23394,2.11385,104.19,47.4893,104.19,47.4893,86.7297,-1.47059,2.14576,-1.47059,2.14576,
2.11137,4.61758,4.61758,2.11137,6.67408,-5.70536,-4.99382,-4.99382,-5.70536,118.816,103.29,118.816,103.29,24.8527,-1.68752,0.654776,-1.68752,0.654776,
1.18185,0.0767864,1.18185,0.0767864,1.17021,-1.92738,1.9168,-1.92738,1.9168,39.5739,277.156,277.156,39.5739,245.716,-1.31644,0.781329,0.781329,-1.31644,
0.0117535,0.389801,0.389801,0.0117535,0.401498,2.49278,2.36366,2.36366,2.49278,100.465,131.352,131.352,100.465,32.9067,-1.12152,-0.278524,-0.278524,-1.12152,
0.065268,0.0623453,0.065268,0.0623453,0.127429,-3.28404,-3.22473,-3.28404,-3.22473,157.505,68.1902,157.505,68.1902,222.326,1.05658,1.99032,1.05658,1.99032,
24.0383,62.2685,62.2685,24.0383,85.706,1.56132,1.1413,1.1413,1.56132,154.727,61.4102,154.727,61.4102,106.322,-1.77914,1.11411,-1.77914,1.11411,
0.0687983,0.054746,0.0687983,0.054746,0.123533,-0.481936,-0.319882,-0.481936,-0.319882,344.322,316.515,344.322,316.515,82.9329,-0.589637,-1.1846,-0.589637,-1.1846,
0.0397785,0.00505596,0.0397785,0.00505596,0.042871,-0.441375,0.969305,-0.441375,0.969305,124.411,31.4257,124.411,31.4257,95.0403,-0.519128,-0.226116,-0.519128,-0.226116,
0.144349,5.12764,5.12764,0.144349,5.24563,3.45021,1.86773,1.86773,3.45021,65.3345,107.96,107.96,65.3345,56.6257,-2.41578,1.58155,1.58155,-2.41578,
2.81957,3.0206,3.0206,2.81957,5.84017,-1.1803,-1.18033,-1.18033,-1.1803,209.238,46.2809,209.238,46.2809,255.44,-2.24308,1.33952,-2.24308,1.33952,
147.444,96.8557,147.444,96.8557,131.08,0.24714,-0.816784,0.24714,-0.816784,137.832,115.917,137.832,115.917,117.179,0.249246,-0.738213,0.249246,-0.738213,
0.104946,0.0751542,0.104946,0.0751542,0.179811,1.53661,1.33252,1.53661,1.33252,157.377,84.213,157.377,84.213,106.249,-0.389864,-0.881688,-0.389864,-0.881688,
28.7517,3.09657,28.7517,3.09657,31.8324,0.131745,-2.71633,0.131745,-2.71633,26.7768,105.467,105.467,26.7768,79.4222,0.139212,-1.2144,-1.2144,0.139212,
0.314701,0.236272,0.314701,0.236272,0.550957,-0.60104,-0.585723,-0.60104,-0.585723,101.022,98.0249,101.022,98.0249,67.4619,-1.44555,-1.07986,-1.44555,-1.07986,
0.159664,87.7434,87.7434,0.159664,87.8931,-0.306546,-0.765648,-0.765648,-0.306546,33.8721,28.0582,33.8721,28.0582,61.643,1.26877,-0.280601,1.26877,-0.280601,
6.16545,88.705,88.705,6.16545,94.4359,-0.795993,-1.86535,-1.86535,-0.795993,263.247,113.146,263.247,113.146,153.666,0.59504,-1.70479,0.59504,-1.70479,
29.0231,434.502,434.502,29.0231,410.543,-0.0550971,-0.485028,-0.485028,-0.0550971,44.1941,422.26,422.26,44.1941,408.155,-0.0998564,-0.470477,-0.470477,-0.0998564,
4.3971,0.0086219,4.3971,0.0086219,4.40191,-1.00597,-1.13947,-1.00597,-1.13947,142.126,45.7222,142.126,45.7222,112.395,-0.190102,-1.03827,-0.190102,-1.03827,
0.0806113,19.7577,19.7577,0.0806113,19.6916,3.55805,-1.3415,-1.3415,3.55805,128.61,46.6784,128.61,46.6784,82.6591,2.0349,-2.44761,2.0349,-2.44761,
0.108361,6.70274,6.70274,0.108361,6.72001,-0.97659,-1.01784,-1.01784,-0.97659,109.782,501.507,501.507,109.782,391.831,1.12753,-1.41661,-1.41661,1.12753,
16.6114,0.0174953,16.6114,0.0174953,16.5943,0.85967,-0.435519,0.85967,-0.435519,201.444,337.818,337.818,201.444,179.781,0.192995,-1.06527,-1.06527,0.192995,
0.0559964,0.0378361,0.0559964,0.0378361,0.0938317,-5.1298,-5.13625,-5.1298,-5.13625,27.4102,50.8944,50.8944,27.4102,54.8483,-0.730241,1.52548,1.52548,-0.730241,
0.0639296,0.0377985,0.0639296,0.0377985,0.101728,2.97398,2.98034,2.97398,2.98034,161.385,51.9164,161.385,51.9164,109.541,-1.33244,2.24016,-1.33244,2.24016,
18.0233,221.727,221.727,18.0233,239.51,-0.863236,-0.434535,-0.434535,-0.863236,224.513,237.32,237.32,224.513,16.2065,1.09911,-0.668585,-0.668585,1.09911,
37.4883,0.616818,37.4883,0.616818,36.8834,0.908345,-1.26731,0.908345,-1.26731,36.4796,56.3689,56.3689,36.4796,57.9579,-1.82405,1.44319,1.44319,-1.82405,
55.255,23.1022,55.255,23.1022,78.3417,0.299952,0.374471,0.299952,0.374471,342.424,139.112,342.424,139.112,204.101,0.460315,-1.89856,0.460315,-1.89856,
1.23309,3.46181,3.46181,1.23309,4.1375,3.03967,3.50885,3.50885,3.03967,32.142,92.9659,92.9659,32.142,85.0447,0.685766,-1.75048,-1.75048,0.685766,
0.999095,4.86573,4.86573,0.999095,5.84251,0.756894,1.28017,1.28017,0.756894,322.364,278.799,322.364,278.799,56.4715,-0.477324,0.951929,-0.477324,0.951929,
1.25958,0.0779357,1.25958,0.0779357,1.33325,1.29048,-5.21117,1.29048,-5.21117,143.931,74.0198,143.931,74.0198,78.4744,2.18438,-1.73944,2.18438,-1.73944,
10.086,12.9212,12.9212,10.086,15.9389,-1.88148,0.261837,0.261837,-1.88148,149.331,503.991,503.991,149.331,380.692,-0.164455,-0.439716,-0.439716,-0.164455,
0.0854801,0.0169864,0.0854801,0.0169864,0.102459,-1.91981,-2.54956,-1.91981,-2.54956,102.993,162.483,162.483,102.993,76.5722,-1.97448,1.89109,1.89109,-1.97448,
0.0351992,0.0118899,0.0351992,0.0118899,0.0452917,-6.80825,-7.59507,-6.80825,-7.59507,91.408,34.8254,91.408,34.8254,74.2933,-0.501524,2.05714,-0.501524,2.05714,
24.1097,11.7462,24.1097,11.7462,12.5102,-0.0146443,-0.0400659,-0.0146443,-0.0400659,299.913,24.8572,299.913,24.8572,301.577,-0.715088,-0.0999038,-0.715088,-0.0999038,
0.0170066,0.0555166,0.0555166,0.0170066,0.0725107,-3.18682,-3.19479,-3.19479,-3.18682,59.3836,84.9704,84.9704,59.3836,28.6849,-1.11521,2.01144,2.01144,-1.11521,
0.278427,0.0228766,0.278427,0.0228766,0.301083,-3.78768,-3.80381,-3.78768,-3.80381,211.418,135.849,211.418,135.849,204.597,-0.494546,0.635816,-0.494546,0.635816,
0.123072,0.226346,0.226346,0.123072,0.349411,-2.25114,-2.29114,-2.29114,-2.25114,292.115,369.708,369.708,292.115,98.2014,-1.34944,0.821997,0.821997,-1.34944,
0.270147,0.0220492,0.270147,0.0220492,0.289136,4.77874,4.92877,4.77874,4.92877,65.4496,116.924,116.924,65.4496,174.785,-1.12793,1.44809,1.44809,-1.12793,
0.348765,0.0831024,0.348765,0.0831024,0.431843,0.516689,0.516021,0.516689,0.516021,122.782,168.221,168.221,122.782,46.3968,1.74201,-1.48068,-1.48068,1.74201,
0.545463,1.76457,1.76457,0.545463,2.30995,0.868047,0.896672,0.896672,0.868047,71.4971,126.015,126.015,71.4971,83.3759,-0.238873,-1.36403,-1.36403,-0.238873,
0.138451,0.209107,0.209107,0.138451,0.319873,1.63591,-2.84968,-2.84968,1.63591,195.981,335.816,335.816,195.981,145.258,1.47144,-1.17404,-1.17404,1.47144,
0.485484,0.29223,0.485484,0.29223,0.777671,2.67955,2.66873,2.67955,2.66873,118.917,38.0094,118.917,38.0094,92.1768,-1.19727,0.933673,-1.19727,0.933673,
0.00608714,0.00734663,0.00734663,0.00608714,0.0134338,0.61851,0.674897,0.674897,0.61851,104.057,99.2161,104.057,99.2161,77.6307,-0.673518,-1.76083,-0.673518,-1.76083,
15.1359,19.338,19.338,15.1359,34.4739,-1.14975,-1.17222,-1.17222,-1.14975,68.4923,83.3311,83.3311,68.4923,19.408,-1.38186,1.84129,1.84129,-1.38186,
0.086682,42.8935,42.8935,0.086682,42.8857,-0.184342,-1.59669,-1.59669,-0.184342,47.1494,76.3167,76.3167,47.1494,49.0996,1.12704,-2.30379,-2.30379,1.12704,
0.0682898,1.62779,1.62779,0.0682898,1.69608,1.21328,1.20835,1.20835,1.21328,33.408,183.164,183.164,33.408,161.599,0.973221,-1.86236,-1.86236,0.973221,
1.04001,3.57474,3.57474,1.04001,4.61129,-0.644991,-0.657145,-0.657145,-0.644991,249.412,206.274,249.412,206.274,43.5494,-2.38518,-0.0619754,-2.38518,-0.0619754,
2.37764,0.197325,2.37764,0.197325,2.21614,-0.665865,-2.07407,-0.665865,-2.07407,99.0285,135.725,135.725,99.0285,77.1981,-0.396358,2.09532,2.09532,-0.396358,
25.3258,0.554958,25.3258,0.554958,25.3366,-1.98291,-0.428338,-1.98291,-0.428338,236.862,134.761,236.862,134.761,127.61,-1.84036,-0.664479,-1.84036,-0.664479,
6.20512,4.50607,6.20512,4.50607,10.7112,-0.722531,-0.720851,-0.722531,-0.720851,107.408,81.3202,107.408,81.3202,72.437,0.452732,2.15372,0.452732,2.15372,
22.3402,0.250807,22.3402,0.250807,22.4226,1.70768,-0.998117,1.70768,-0.998117,177.16,67.5809,177.16,67.5809,151.344,-1.14198,1.35884,-1.14198,1.35884,
44.3194,0.00851322,44.3194,0.00851322,44.3226,-0.905804,-0.807152,-0.905804,-0.807152,215.689,202.42,215.689,202.42,51.7929,0.748504,-0.405599,0.748504,-0.405599,
18.1144,0.0220558,18.1144,0.0220558,18.0925,-0.0383534,2.23309,-0.0383534,2.23309,108.052,191.279,191.279,108.052,83.2978,-0.667255,2.14006,2.14006,-0.667255,
0.135379,63.9245,63.9245,0.135379,63.9824,4.06878,1.82622,1.82622,4.06878,260.961,95.0788,260.961,95.0788,194.896,1.04191,-0.895934,1.04191,-0.895934,
7.43775,18.5407,18.5407,7.43775,25.9589,-1.19517,-1.1419,-1.1419,-1.19517,98.5494,77.2975,98.5494,77.2975,27.0872,-2.00851,2.13308,-2.00851,2.13308,
160.938,225.017,225.017,160.938,219.204,-0.254552,1.94189,1.94189,-0.254552,135.411,190.914,190.914,135.411,136.572,-0.235457,2.31256,2.31256,-0.235457,
48.5363,162.462,162.462,48.5363,115.768,1.15462,-1.45665,-1.45665,1.15462,64.1078,105.967,105.967,64.1078,44.34,0.999405,-1.80382,-1.80382,0.999405,
0.0980166,0.0984537,0.0984537,0.0980166,0.196328,-1.54012,-1.58107,-1.58107,-1.54012,156.724,23.1828,156.724,23.1828,147.151,-1.11111,1.76825,-1.11111,1.76825,
0.0281728,1.19909,1.19909,0.0281728,1.17186,3.83414,2.94022,2.94022,3.83414,194.56,93.6698,194.56,93.6698,268.771,0.0191679,-1.315,0.0191679,-1.315,
