b_eta_lead,h_l_pt,h_lbar_pt,h_l_pt_lead,h_l_pt_trail,h_l_eta,h_lbar_eta,h_l_eta_lead,h_l_eta_trail,h_ll_pt,h_ll_m,h_l_abs_diff_phi,h_l_diff_abs_eta,h_b_pt_lead,h_b_pt_trail,h_b_eta_lead,h_b_eta_trail,h_bb_pt,h_bb_m,
-0.633622,97.2467,166.521,166.521,97.2467,-0.376481,1.90207,1.90207,-0.376481,97.185,433.003,2.59934,-1.52559,328.97,64.275,-0.633622,-2.34723,264.767,405.381,
-2.06809,233.006,146.518,233.006,146.518,-1.77681,-0.701525,-1.77681,-0.701525,150.609,405.933,2.46123,1.07529,173.901,123.287,-2.06809,-0.80052,70.9074,354.229,
-0.790543,219.316,191.767,219.316,191.767,0.741126,-0.418815,0.741126,-0.418815,34.3561,480.658,3.04145,0.322312,205.491,75.1113,-0.790543,0.54104,131.532,308.395,
-0.39163,110.535,200.536,200.536,110.535,-0.787118,2.00338,2.00338,-0.787118,146.914,627.117,3.94279,-1.21626,121.124,76.7422,-0.39163,1.26187,103.924,247.493,
1.50066,261.282,40.6846,261.282,40.6846,0.901646,-1.42013,0.901646,-1.42013,231.46,354.617,3.83508,-0.51848,370.906,235.778,1.50066,-0.982406,544.194,979.24,
-1.42906,108.006,164.837,164.837,108.006,-0.612358,2.08805,2.08805,-0.612358,113.732,540.478,2.38537,-1.47569,441.164,396.374,-1.42906,0.150219,45.5599,1112.8,
-2.04898,58.7074,104.706,104.706,58.7074,1.1107,-1.80613,-1.80613,1.1107,48.4601,354.975,2.94679,-0.695434,107.809,53.5752,-2.04898,1.55296,92.8845,467.623,
2.06775,144.415,24.3535,144.415,24.3535,-1.16994,1.73416,-1.16994,1.73416,135.708,259.628,4.26668,-0.564216,114.429,76.7506,2.06775,-2.04681,73.1579,743.116,
-2.42746,63.3155,33.0736,63.3155,33.0736,-1.90671,0.438126,-1.90671,0.438126,37.2895,160.492,2.66022,1.46858,435.45,364.078,-2.42746,0.939669,100.618,2217.54,
1.45829,234.87,66.5967,234.87,66.5967,1.0654,-0.996964,1.0654,-0.996964,168.314,395.312,3.17102,0.0684313,324.906,48.6176,1.45829,0.1376,305.936,279.829,
-0.985549,36.4304,190.05,190.05,36.4304,2.14249,-0.329963,-0.329963,2.14249,183.787,293.781,4.44426,1.81253,344.425,101.601,-0.985549,0.701659,256.406,510.245,
-0.101983,85.021,209.772,209.772,85.021,0.430007,1.53272,1.53272,0.430007,124.959,308.647,3.19564,-1.10271,695.702,53.4678,-0.101983,1.52997,649.838,522.666,
0.232371,337.408,208.761,337.408,208.761,-0.181084,-0.434367,-0.181084,-0.434367,212.684,507.552,2.49209,-0.253283,474.936,246.671,0.232371,-0.433823,472.42,594.74,
